GENERAL,STOCK 24 - GENERAL,STOCK 12 - GENERAL,STOCK 4 - GENERAL,,JAMIRO QUAI,STOCK 4 - JAMIRO QUAI,TART HUITRE,STOCK 4 - TART,VOGUE,STOCK 4 - VOGUE,,MERC,STOCK 24 - MERC,STOCK 12 - MERC,STOCK 4 - MERC,,MELANGE 12 - BOLD,MELANGE 12 - PARSLEY
1010,,,,,,,,,,,,6510,,,,,,
1020,,,,,,,,,,,,6515,,,,,,
1030,,,,,,,,,,,,6520,,,,,,
1040,,,,,,,,,,,,6525,,,,,,
1050,,,,,,,,,,,,6530,,,,,,
1060,,,,,,,,,,,,6535,,,,,,
1070,,,,,,,,,,,,6540,,,,,,
1080,,,,,,,,,,,,6545,,,,,,
1090,,,,,,,,,,,,6550,,,,,,
1100,,,,,,,,,,,,6555,,,,,,
1110,,,,,,,,,,,,6560,,,,,,
1120,,,,,,,,,,,,6565,,,,,,
1130,,,,,,,,,,,,6570,,,,,,
1140,,,,,,,,,,,,6575,,,,,,
1150,,,,,,,,,,,,6580,,,,,,
1160,,,,,,,,,,,,6590,,,,,,
1170,,,,,,,,,,,,6595,,,,,,
1180,,,,,,,,,,,,6600,,,,,,
1190,,,,,,,,,,,,6605,,,,,,
1200,,,,,,,,,,,,6610,,,,,,
1210,,,,,,,,,,,,6615,,,,,,
1220,,,,,,,,,,,,6620,,,,,,
1230,,,,,,,,,,,,6625,,,,,,
1240,,,,,,,,,,,,6630,,,,,,
1250,,,,,,,,,,,,6635,,,,,,
1260,,,,,,,,,,,,6640,,,,,,
1270,,,,,,,,,,,,6645,,,,,,
1280,,,,,,,,,,,,6650,,,,,,
1290,,,,,,,,,,,,6655,,,,,,
1300,,,,,,,,,,,,6660,,,,,,
1310,,,,,,,,,,,,6665,,,,,,
1320,,,,,,,,,,,,6670,,,,,,
1330,,,,,,,,,,,,6675,,,,,,
1340,,,,,,,,,,,,6680,,,,,,
1350,,,,,,,,,,,,6685,,,,,,
1360,,,,,,,,,,,,6690,,,,,,
1370,,,,,,,,,,,,6695,,,,,,
1380,,,,,,,,,,,,6700,,,,,,
1390,,,,,,,,,,,,6705,,,,,,
1400,,,,,,,,,,,,6710,,,,,,
1410,,,,,,,,,,,,6715,,,,,,
1420,,,,,,,,,,,,6720,,,,,,
1430,,,,,,,,,,,,6725,,,,,,
1440,,,,,,,,,,,,,,,,,,
